seoul	jeju
서귀포입니다.	서귀포우다.
-사- 살았던 곳 하는 말이지?	-사- 살았던 디 곧는 말이지?
나는 신엄 사니까 제주도 말들 다들 잘 하겠지.	나는 신엄 사난 제주도 말들 다들 잘 고를테주.
나는 저 어릴 때는 저 성안에 살았어서 그렇지만.	나는 저 어릴 때는 저 성안에 살아부니까 경허주만은.
성안 말은 또 성안 말 대로 또 제주말이니까. #이  그나저나 잘들 살았어?	성안 말은 또 성안 말 대로 또 제주말이난. 이  그나저나 잘들 살안?
 그냥 그럭저럭 살아요.	 그냥 그럭저럭 살암수다.
살아요. 	살암수다. 
코로나 때문에 이거 뭐 하는 걸 아무것도 못 하고.	코로나 때문에 이거 무시거 하는 걸 아무것도 못 하고게.
그 우린 또 다 마스크들 잘 껴서 왔으니까 	그 우린 또 다 마스크들 잘 꼉 와시난 
별 일 없겠지. 그 오늘 말 할 게 이제 제주 개 제주 개에 대해서 말을 할건데. 	별 일 어실테주. 그 오늘 말 고를 게 이제 제주 개 제주 개에 대행 말을 고를건디 
어~ 제주개들 다 기르면서 이제 저 제주 개에 이 저 관심들 있는 사람이니까	어~ 제주개들 다 질르멍들 이제 저 제주 개에 이 저 관심들 이신 사람이난
어~ 이 그 말을 하는데 그런데 나 제주 개 기른다고 하면	어~ 이 그 말을 곧는디 경헌디 나 제주 개 길럼댄 하믄
제주 개라고 한 게 있어요? 하는 그 질문들을 많이 하는데 그	제주 개랜 한 게 이수과? 하는 그 질문들을 많이 하는디 그
제주 개라고 한 게 있어요?	제주 개랜 한 게 이수과?
음~ 일단 결론적으론 있다고 말을 하고요.	음~ 일단 결론적으론 있다고 말을 하고게.
그 있어요. 근데 어~ 모든 게 보면 그 원종이라고 할까?  에~	그 있수다게. 근디 어~ 모든 게 보면 그 원종이라고 할까?  에~
그 성질들 있지 않습니까?  모양이라든가  에~ 뭐 하는	그 성질들 있지 않우꽈?  모양이라든가  에~ 뭐 허는
폼새 그 능력이라든가  에~ 요런 것들을 그나마 에~ 가지고 있는 것들이 있다. 	폼새 그 능력이라든가  에~ 요런 것들을 그나마 에~ 가정 이신 것들이 있다. 
어~ 그런데 이게 제주 개가 제주도에 진짜 있는 거냐 그러면서	어~ 경헌디 이게 제주 개가 제주도에 진짜 이신 거냐 경허멍들
어~ 사람들이 잘 모르는 이유가 뭘까?	어~ 사람들이 잘 모르는 이유가 무신건고?
음~ 똥개라고 막 내몰아서	음~ 똥개랜 막 내몰아그넹
똥개라고? 	똥개랜? 
사람들이 이제 제주 개를 따로 구분을 -안해- 안 해서 저	사람들이 이제 제주 개를 따로 구분을 -안해- 안 해부난에 저
제주 개라고 한 말이 생소할지 모르지만. 	제주 개랜 한 말이 생소할지 모르주만은. 
옛날부터 사냥을 하고 그거 잡아서 옷도 입고	옛날부터 사냥을 허고 그거 잡아그네 옷도 입고
그랬을 거예요. 	겅해실 거우다게. 
난 #예 이거 #예 곰곰히 이렇게 생각하니까.	난 예 이거 예 곰곰히 영 생각해보난.
저기 우리가 그 좀 낮게 보는 것 천하게 보는 거는 	저기 우리가 그 좀 낮*으게 보는 것 천하게 보는 거는 
잘 기록이 안 남지 않습니까? #예  또 자랑도 안 하고. 	잘 기록이 안 남지 않우꽈? 예  또 자랑도 안 하고. 
그니까 우리 옛날에 이 제주 개라고 한 거는	게난  우리 옛날에 이 제주 개옌 한 거는
사람들이 보기엔 나무라는 일입니다. 	사람들이 보기엔 나무래는 일이라마씨. 
그러고 또 실질적으로도  이 어려운 시절 그 일제 시대라든가 이 사 삼 사건 거치면서	그러고 또 실질적으로도  이 어려운 시절 그 일제 시대라든가 이 사 삼 사건 거치멍
어떤 때는 개도 잡아 먹어버린 거야? 	어떤 때는 개도 잡아 먹어분 거라? 
그니까 이 개가 우수하다 해서 보존하는 것 보다는 당장 오늘 굶어 죽지 않으려고	게난 이 개가 우수하다 행으네 보존하는 것 보다는 당장 오늘 굶어 죽지 않으젠
개도 잡아먹고 하니까 개도 없어졌고. 	개도 잡아먹고 커당보난 개도 어서졌고. 
또 이 개라고 한 것이 에~ 문화 서양들은 개를 기르는 그 문화가 발전 했을지 몰라도 우리는 에이고	또 이 개랜 한 것이 에~ 문화 서양들은 개를 기르는 그 문화가 발전 했을지 몰라도 우리는 에이고
개 있는 거는 이제 우리 제주 개가 우수한 능력을 갖고 있는 건 사실인데. 	개 있는 거는 이제 우리 제주 개가 우수한 능력을 갖고 있는 건 사실인디. 
이걸 자랑하는 마음이 없는 거야. 	이걸 자랑하는 마음이 어신 거라. 
무슨 개를 가지고 자랑할 게 뭐 있나 이거죠. 	무슨 개를 가정 자랑할 게 뭐 이신고 이거주마씸게. 
그러니까 이제 잘 알려지지 않아서	경해부난 이제 잘 알려지지 안행으네
그러니까 그거를 무슨 제주 개를 천하게 봤다고 하기보다 	경하난 그거를 무슨 제주 개를 천허게 봤다고 하기보다 
그냥 그냥 그 너무 너무도 익숙하니까  우리한테 	그냥 그냥 그 너무 너무도 익숙해부니까  우리한테 
그니까 뭐 뭐 별난 거 있어?  그냥 옛날 어릴 때부터 그 개 길러서.	게난 무시거 뭐 별난 거 이서?  그냥 옛날 어릴 때부터 그 개 길렁.
어~ 데리고 사냥 다니고 그러다 또	어~ 데령 사냥 댕기고 경하당 또
조금 저 살찌고 사냥도 잘못하면 잡아먹고 	조금 저 살*찌고 사냥도 잘못하면 잡아먹고 
이러면서 살다가 보니까 마치 저 뭐냐 저	영허멍 살당 보니까 마치 저 무시거꼬 저
그 올레 제주 올레 올레길이 생기면서 막 육지에서도 막 사람들 난리나고 그랬지만.	그 올레 제주 올레 올레길이 생기멍 막 육지서도 막 사람들 난리나고 경했주만은.
제주도 사람들은 뭐 그 우리 뭐 어디 어릴 때 무슨 뭐 저기 저 원조 가는데 아니면 우리 동네 뒷 길	제주도 사람들은 무시거 그 우리 무신 어디 어릴 때 무신 뭐 저기 저 원조 가든디 아니면 우리 동네 뒷 길
그래서 별로 무슨 그렇게 어~ 좀 가치 있다 이렇게 생각하지 못 하던 거를	경하영 별로 무신 경 어~ 좀 가치 있다 이추룩 생각하지 못 하던 거를
외지 사람들이 보기에는 와 이런 데가 있느냐고 그렇게 한 거 같이	외지 사람들이 보기에는 와 이런 데가 있느냐고 경 한 거 같*이
제주 개도 그러니까 이렇게 된 거겠지. 	제주 개도 경헌거난 영 된 걸테주. 
그니까 #예 지금 응~ 이렇게 들어보면 좀 속상한 게 뭐냐면  제주 개 하면	게난 예 지금 응~ 영 들어보면 좀 속상한 게 뭐냐면  제주 개 하면
그리고 제주 개에 해서 아는 사람들은 뭐라고 말하냐 하면  똥개. 똥개지. 	그리고 제주 개에 행 아는 사람들은 뭐옝 곧느냐 하면  똥개. 똥개주게. 
평범한 음~ 단어로 이제 이 똥개가 제주의 명사가 된 그런 게 아닌가.	평범한 음~ 단어로 이제 이 똥개가 제주의 명사가 되분 그런 게 아닌가.
그니까 똥개가 무슨 멍청한 개여서 똥개라고 한 말이 아니고. 그냥 토종 개다.  토종 개다.  그 말로 썼을 거야.	게난 똥개가 무신 멍청한 개여서 똥개랜 한 말이 아니고. 그냥 토종 개다.  토종 개다.  그 말로 써실 거라게.
그니까 #예 #예 육십팔 년도 저희들 그 고향에서는 	게난 예 예 육십팔 년도 저희들 그 고향에서는 
사냥 잘하는 개.  사냥 잘하는 개 있는 집 아이들은 진짜 사람 자체가 달라보여. 	사냥 잘하는 개.  사냥 잘하는 개 이신 집 아이들은 진짜 사람 자체가 달라보여. 
어~ 부러움의 부러움 또는 선망의 대상이었던 겁니다. 	어~ 부러움의 부러움 또는 선망의 대상이었던 거라마씸. 
그러면 그 저기 저 제주 개라고 한 게 일단 생긴 것부터  어 그	게믄 그 저기 저 제주 개랜 한 게 일단 생긴 것부터  어 그
이제 다른 개들하고 어떻게 다른지  그 그런 것부터 먼저 좀 말하세요.	이제 다른 개들하고 어떵 다른지  그 그런 것부터 먼저 좀 골아봅서.
-체- 체구가 조금 작고 #예	-체- 체구가 호쏠 작*고 예
체구 어느만큼 작은가?	체구 어느만큼 작*은가?
아니야. 작지 않아.	아니라. 작*지 않아여.
아~ 옛날 껀 -크- 큰 것도 있었나? 	아~ 옛날 껀 -크- 큰 것도 이서신가? 
그러면 그거는 내가 이제 근거를 합리적으로 근거를 대야 되는데 	그믄 그거는 나가 이제 근거를 합리적으로 근거를 대야 되는데 
어~ 나비 박사  알지? #예 	어~ 나비 박사  알지? 예 
제주 개라고 한 게 -인- -인- 나오는데 	제주 개랜 한 게 -인- -인- 나오는디 
음~ -빅- 이렇게 저 육지 것들하고  비교해보니까	음~ -빅- 영 저 육지 것들하고  비교해보난
육기 개들 하고 비교하니까 진돗개보다 이 섬 개중에는  제주 개가 제일 크대. 	육기 개들 하고 비교해보난 진돗개보다 이 섬 개중에는  제주 개가 제일 크댄. 
그러면 진돗개보다 크다는 말이네?	게민 진돗개보다 크다는 말이네?
그렇죠. 	그렇주마씨. 
이 저 -실- 저 이제 컸다는 거야.  덩치도.  응 외형은 이제 그런 건데. 	이 저 -실- 저 이제 컸다는 거라.  덩치도.  응 외형은 이제 그런 건데. 
지금에 와서 내가 조금 이렇게	지금에 왕으네 나가 호끔 영
저 굳이 이제 진돗개하고 비교한다고 하면  음~ 어떤 이미지로 해야 되는가? 음~	저 굳이 이제 진돗개하고 비교한댄 하면  음~ 어떤 이미지로 해야 되는가? 음~
근데  이 우리 제주 개는 뭡니까? 그 감물? 	근디  이 우리 제주 개는 뭐꽈? 그 갈중이? 
좀 털털한 감물 입은  모양.	좀 털털한 갈중이 입은  모양.
그런 느낌 하면 #예  시늉이 꼭 그거야. 	그런 느낌 하면 예  소늉이 꼭 그거라. 
그 느낌이로 하면 그런 느낌이라고 하지만 	그 느낌이로 하믄 그런 느낌이랜 하*주만은 
어 조금 조금 좀 점점 이 -꼬랭- -꼬랑- 꼬리나 	어 조금 조금 좀 점점 이 -꼬랭- -꼬랑- 꼬랭지나 
그 저 모양을 좀 설명을 하면 뭐라고 할까? 	그 저 모양을 좀 설명을 하면 무시경 해질건고? 
그러면 #예 먼저 저기 옛날  오래된 옛날 그 사료 같은 거를 조금 인용해보면 좋을 텐데. 	그믄 예 먼저 저기 옛날  오래된 옛날 그 사료 같은 거를 호끔 인용해보면 좋음직하는디. 
그 우리 저 옛날 순방들 하는 말 있지 않아요? #예 	그 우리 저 옛날 순방들 하는 말 있지 않으꽈? 예 
음~ 그 순방들 하는 말 중에 그 사냥  그 우리 제주 말로 사냥이라고 하는데 사냥 신이 있어요. 	음~ 그 순방들 하는 말 중에 그 사냥  그 우리 제주 말로 사농이랜 하는디 사농 신이 이서마씨. 
그게 누군고 하면 저 하루 산도라고 한 이름 가진 그 사냥 신이 있는데.	그게 누군고 하면 저 하루 산도랜 한 이름 가진 그 사냥 신이 있는디.
그 신이 사냥할 때 그 모습이 -나- 저 사냥하는 게 나오는데 	그 신이 사농할 때 그 모습이 -나- 저 사농하는 게 나오는디 
음~ 니눈이반둥갱이 개를 데리고서  사냥한다라는 그 말이 나와요. 	음~ 니눈이반둥갱이 개를 데령으네  사농한다라는 그 말이 나와마씨. 
그니까 그 니눈이반둥갱이가 뭔가 하면.	게 그 니눈이반둥갱이가 뭔고 하믄.
어 네 눈.  그러니까 눈이 네 개라는 뜻인데.	어 네 눈.  그러니까 눈이 네 개라는 뜻인디.
네눈박이라고 한 거. 	네눈박이랜 한 거. 
요즘으로 치면 저 네눈박이라고 한 말이  좀 닮아 보이는데. 	요즘으로 치면 저 네눈박이랜 한 말이  좀 닮아 밴디. 
안 나와요.  그니까 주로 이제	안 나와마씸.  게 주로 이제
까만 거.	꺼멍헌 거.
검은개에서 이제 네눈이가 나오는데. 	검은개에서 이제 네눈이가 나오는디. 
그래서 아~ 그걸 이렇게 생각해보면 에~ 털 색은 좀 검고 	그래서 아~ 그걸 영 생각해보민 에~ 털 색은 좀 검고 
에~ 덩치는 아까 말한 것처럼 좀 커. #예  응. 근데.	에~ 덩치는 아까 말한 것처럼 좀 커. 예  응. 근데.
산적 닮았다고 하나? 아무튼	산적 닮았댄 해나? 아무튼
그런데 그 저기 저 검은 것만 있지도 않지 않아?	경헌디 그 저기 저 검은 것만 있지도 않지 않영게?
예. 응~ 그러니까 저 털 색 가지고  말들이 좀 나오는데 대표적인 게 에~ 노란 개. 	예. 응~ 경하난 저 털 색 가정으네  말들이 좀 나오는데 대표적인 게 에~ 노란 개. 
그 실제 생활에는 검은 개 하고 노란 개가 나와요. 	그 실제 생활에는 검은 개 하고 노란 개가 나와마씨. 
근데 저기 이제 뭐 할머니들 애기 재울 때. 	근데 저기 이제 뭐 할망들 애기 재울 때. 
x이 자라 x이 자라 하면서	x이 자랑 x이 자랑 하멍
그 개 얘기가 나오는데. 	그 개 얘기가 나오는디. 
검둥 개야  노란 개야는 나오는데  흰 개는 안 나와. 	검둥 개야  노란 개야는 나오는디  흰 개는 안 나와. 
근데 흰 개가 나오기도 하는데  주로 어떤 경우 나오냐면 #예 이 미신적인 거. 	근데 흰 개가 나오기도 하는데  주로 어떤 경우 나오냐면 예 이 미신적인 거. 
기억이 없는데 녹음 보니까 저렇게 되어가지고	기억이 어신디 녹음 보니까 저렇게 되어가지고
저번에 이 박 삼 일로 간 한라산 등반은 날씨가 좋지 않아서 백록담 까지는 못 갔지만	저번이 이 박 삼 일로 간 한라산 등반은 날씨가 궂언 백록담꼬진  못 갔주만
그동안 스무 개나 넘는 동굴탐험 보여줬어요	그동안 스무 개나 넘는 동굴탐험 보여줬수게
탐험때 쓸 횃불 xx 많이 만들어놔야 하는데	탐험때 쓸 횃불 xx 하영 맹글어놔사 헐건디
고정욱 선생님이 탐험 밤 여러분들한테 꼬마 탐험대인 한 멋진 이름 지어줬어요	고정욱 선생님이 탐험 밤 여러분들신디 꼬마 탐험대인 혼 멋진 일름 지어줬져
x 안 다친거 같아 소망 아래아 소망	x 안 다친거 닮다 소망 아래아 소망
나 그냥 오 썼는데	나 그냥 오 써신디
거 무슨 소망이니 소원이게 소원	거 무신 소망이라 소원이게 소원
xxxxx 애덜 무사하니까 소망이예요	xxxxx 애덜 무사허난 소망이여
다 온 듯 하다	다 온 생이여
왜 이렇게 막 한 글자씩 입니까? 	무사 영 막 혼 글자씩이꽝?  
xxx 여기서부턴 나 혼자 가볼게요.	xxx 이디서부턴 나 혼체 가보쿠다.
아이고 이거 어떻게 해야될거니?	아이고 이거 어떵 해야될거니?
을매 어선 부종 유선식 선상은 선생으로 갑니다	을매 어선 부종 유선식 선상은 선싱으로 갑니다
을매 어선 부종 선생은 마을 이건 또 왜 리을이 들어갔나요?	을매 어선 부종선싱 은 모을 이건 또 무사 리을이 들어갔수가?
을매 어선 부종 유 선생은 마을 사람들이 두에젠 뭐라이거	을매 어선 부종 유선싱 은 모을 사람들이 두에젠 뭐라이거
도와주어 도와주어 도와주어	도웨전 도웨전 도웨준
도와주어 땅 위에	도웨준 땅 우터레
이거 어떻게 고치면 좋을거 이거	이거 어떵 고치면 좋을거 이거
어떤거?	어느거?
못 고친다고 하지 않았니?	못 고친댄허지 안핸?
이거 두에전은 을매 어선 부종 유 선생은 마을 사람들이 도에 준	이거 두에전은 을매 어선 부종 유선싱 은 모을 사람들이 도에 준
땅 우 위에 산 군 굴 이름이	땅 우터레  산 군 굴 일름이
산 굴 이름이	산 굴 일름이
지상으로 트여있는 굴의 이름이	지상으로 트인 굴의 이름이
을매 어선 부종 유 선생은 마을 사람들이 도와주어	을매 어선 부종 유선싱 은 모을 사람들이 도웨전
땅 우 위에 난 굴 이름이 만쟁이거머리	땅 우터레  난 굴 일름이 만쟁이거머리
만쟁이 거머리인걸 알았어요	만쟁이 거머리인걸 알았수다
을매 어선 부종 유 선생은 마을 사람들이 도와주어	을매 어선 부종 유선싱 은 모을 사람들이 도웨전
땅 우 위에 난 굴 이름이 만쟁이 거머리인걸 알았어요	땅 우터레  난 굴 일름이 만쟁이 거머리인걸 알았수다
그러고 제 김영중학원 학생들로 만들어진 탐험대광 김영 공립국민	그러고 제 김영중학원 혹생들로 맹글어진 탐험대광 김영 공립국민
김영 공립 국민 학교 학생들로 만들어진 탐험대	김영 공립 국민혹교  학생들로 맹글어진 탐험대
땅 xx 땅안 두 밭에 함께 들어간 그곳이	땅 xx 땅안 두 밭디 홈치 들어간 그디가
만장굴 끝인 걸 확인하였다 하였습니다 다시 한번 더 갈게요	만장굴끝갱 인 걸 확인호였다 호였수다 다시 한번 더 갈게요
만들어진 탐험대광 만들어진 탐험대 땅 xx 땅안 두 밭에 함께들어간 그곳이	맹글어진 탐험대광 맹글어진 탐험대 땅 xx 땅안 두 밭디 홈치들어간 그디가
그러고 제 김영중학원 학생들로 만들어진 탐험대광	그러고 제 김영중학원 혹생들로 맹글어진 탐험대광
그러고 제 김영중 학원 학생들로 만들어진 탐험대광 김영 공립 국민혹교	그러고 제 김영중혹원 
땅  끝인 걸호였수다	땅 우광 땅 안 두 밭디 홈치 들어간 그디가 만장굴끝갱 
함께 들어간 그곳이 만장굴 끝인 걸호였수다	홈치 들어간 그디가 만장굴끝갱 
학교운동장에 모두 모여서 만장굴 명명식을 하였습니다	혹교운동장에 몬 모연 만장굴 명명식을 호였수다
하였습니다 시옷 하나	호였수다 시옷 하나
매해 백만 명 넘은 관광객들이 왔다가는 만장굴은	매해 백만 맹 넘은 관광객들이 댕겨가는 만장굴은
부종 유 선생과 꼬마 탐험대원들의 끈질긴 노력 덕에 찾아낸 제대로된 제주보물이우다	부종 유선싱 
매해 백만 명 넘은 관광객들이 왔다가는 만장굴은	매해 백만 맹 넘은 관광객들이 댕겨가는 만장굴은
부종 유 선생과 꼬마 탐험대원들의 끈질긴 노력 덕에 찾아낸 제대로된 제주보물이우다	부종 유선싱 
이것도 답지를 만들어야 되겠어 답지	이것도 답지를 맨들어야 되크라 답지
이건 교정  책 한 번 다시 몇 분만 만드려고 했거든	이건 교정  책 한 번 다시 몇 분만 맨들젠 했거든
근데 그때 답지까지 같이 만들라고 해야되겠어	근데 그때 답지까지 고치 맨들랜 해야되크라
마늘 한 한 쌈을 한 접이라고	마농 한 한 쌈을 한 접이랜
마늘이 아니고	마농이 아니고
바늘이	바농이
아 바늘	아 바농
한접 이라고 써져있니?	한접이랜  써젼?
바늘을 마늘이랜 생각해버렸나?	바농을 마농이랜 생각해져신가?
그러니까 근데 마늘은 위에 있었거든	게난 근데 마농은 위에 있었거든
용마루의 기적	용모르의 기적
하나 둘 셋 넷 다섯 여섯	허나 둘 싯 닛 다섯 여섯
하나 둘 셋 넷 다섯 여섯	허나 둘 싯 닛 다섯 여섯
일곱 여덟	일곱 여답
일곱 여덟 아홉 열	일곱 여답 아홉 열
마을에서 모아 준 돈으로 사 서까래나마	모을서 모다 준 돈으로 사서리 나마
우리 중학원은 교실이 너무 작아서 걱정되네요	우리 중학원은 교실이 너무 족안 조들아졈수다
음 이거를 우리가 먼저으로 바꿀까?	음 이거를 우리가 먼첨으로 바꾸카?
그러니까 나도 응 그 일은 우리가 먼저 생각해볼게요	게난 나도 응 그 일은 우리가 먼첨 생각해보쿠다
그 일은 어떻게 할까요 그 일은 우리가 먼저 생각해볼게요	그 일은 어떻게 할까요 그 일은 우리가 먼첨 생각허여보쿠다
그 일은 우리가 먼저 생각해볼게요	그 일은 우리가 먼첨 생각허여보쿠다
맞아요	맞수다
하하 아니예요	하하 아니우다
음 그러면 설계 아아	음 게민 설계 아아
그러면 설계도 먼저 만드세요	게민 설계도 먼첨 맹급서
그렇게 한 후에 거기에 맞은 목재를 보낼게요	경헌 후제 그디 맞은 목재를 보내쿠다
사사 삼촌 사사 삼촌 조천중학원 맹글 목재 해왔어요	사사 삼춘 사사 삼춘 조천중학원 맹글 목재해왔수다 
이 이건 이것도 고쳐야 되겠니?	이 이건 이것도 고쳐야 되크냐?
목재를 실어 나와 함께온 화물선 선장이	목잴 실렁 나영 고치온 화물선 선장이
목재를 실어	목잴 실렁
나도 할 수 있을 것 같아요 나도 할 수 있을 것 같아요	나도 히여지쿠다 나도 히여져마씀
자 이거 이거지 목재를 실어 나와 함께	자 이거 이거지 목잴 실렁 나영 한디
온 화물선 선장이 다른물건들 만드려고 x 일본에 가서 한대요	온 화물선 선장이 똔물건들 맹글젠 x 일본데레 가서 한댄마씀
목재를 실어 나와 함께	목잴 실렁 나영 한디
온 화물선 선장이 다른물건들 만드려고 x 일본에 가서 한대요	온 화물선 선장이 똔물건들 맹글젠 x 일본데레 가서 한댄마씀
나도 할 수 있을 것 같아요	나도 히여지쿠다
나도 말이예요	나도 마씀
맨날 이만큼씩하면 사흘이면 될 거예요	매날 이만썩허민 사흘이면 될 거여
저거 뭐야?	저거 뭐?
모두힘을 냅시다 이거	몬딱힘을 냅시다 이거
모두들 힘 냅시다 내자고 할까요?	몬딱덜 힘 내게마씸 내게허카?
내게마 냅시다니깐 모두 힘 내자	내게마 냅시다니깐 몬딱 힘 내게
모두들 힘 내자 이렇게할게요	몬딱덜 힘내게  영허께
모두 힘 내자 그러니까	몬딱 힘 내게 그난
모두 힘 내자	몬딱 심 내게
마씀이 좋을거 같아요	마씀이 좋을거 닮은게
모두 힘 냅시다	몬딱 심 내게마씀
그렇게 해야되려나?	경허게 해야될건가?
그렇게 해요	경허게
그냥 그러니까 해도 될 텐데	그냥 게난 해도 될 건데
내가 할까요	나가 할까요
오늘 잘 있언? 난 x리라 xxx가 잘못가졍 소망이지	오늘 잘 이선? 난 x리라 xxx가 잘못가졍 소망이지
오늘 갈옷 만들기 할 때 나온 재미있는 제주어들 말해줄게	오늘 갈옷 맹글기 홀 때 나온 조미난 제주어들 골아주마
오늘 갈옷 만들기 할 때 나온 재미있는 제주어 말해줄게	오늘 갈옷 맹글기 홀 때 나온 조미난 제주어 골아주마
오늘 갈옷 만들기	오늘 갈옷 맹글기
오늘 갈옷 만들기 할 때 나온 재미있는 제주어들 말해줄게	오늘 갈옷 맹글기 홀 때 나온 조미난 제주어들 골아주마이
첫번째은 바로 남도 구리	츳째번은 바로 남도 구리
이름이 너무 예쁘지	일름이 너미 아꼬우녜이
남도 구리는 나무로 만든 큰 그릇 인데	남도 구린 나무로 맹근 큰큰헌 그릇인디 
감물 들일 때 사용하는 중요한거예요	감물 들일 때 사용하는 중요한거라
방망이	덩드렁마께
방망이 방망이	덩드렁마께 덩드렁마께
매우 예쁘지 않나요? 예쁜 xxx	잘도 고우녜이 곱딱한 xxx
예쁘다 예쁘다	곱딱허다 곱딱허다
예쁜 내가 예쁜 내가	곱딱한 나가 곱딱헌 나가
부지런히 갈옷을 만들었어요	부지란히 갈옷을 맹글었져
만들다 만들다	맹글다 맹글다
남도구리 방망이 예쁘다 만들다	남도구리 덩드렁마께 곱딱허다 맹글다
한 번 더 말해볼게요 이로 갈게요	혼 번 더 골아보게이 이로 갈게요
한 번 더 말해볼게요 남도구리 방망이 예쁘다 만들다	혼 번 더 골아보게이 남도구리 덩드렁마께 곱딱허다 맹글다
재미있는 제주어 재미있는 제주어 다음번에 다시 배워보자	조미난 제주어 조미난 제주어 다음번이 또시 배워보게이
xx읽으면 될 거 아닌가요? 한바당 등장	xx읽으면 될 거 아니? 한바당 등장
소떡소떡 꼬치	소떡소떡 꼬지
아니 소고기적 매우 맛 좋았는데	아니 쇠괴기적 잘도 맛 좋아신디
아 참 이번에는 맛좋은 음식과 관련된 재미있는 것들을 말해줄게요	아 촘 이번인 맛좋은 음식과 관련된 조미난 것들을 골아주마
여기 다시 아 참 이번 시간 에는맛좋은 음식과 관련된 재미있는 것들을 말해줄게요	여기 다시 아 촘 이번 시간인  맛좋은 음식과 관련된 조미난 것들을 골아주마이
  빙떡에 들어가는 속에 것은 무	  빙떡에 들어가는 안네 것은 놈삐
얇고 가늘게 채썬걸 무채 라고 해요 무 무	얇고 좀질게 채썬걸 놈삐채영  헌다 놈삐 놈삐
무	놈삐
삶아서도 먹고 볶아서도 먹는 감자 감자	솖앙도 먹고 볶앙도 먹는 지슬 지슬
감자 감자	지슬 지슬
기름떡은 정말 달콤해요	지름떡은 정말 돌코롬허다
달콤해요	돌코롬허다
달콤해요 달콤해요	돌코롬허다 돌코롬허다
한바당님이 멋진 작품 소떡소떡이 아니라 소고기적	한바당님이 멋진 작품 소떡소떡이 아니랑 쇠괴기적
이 한바당님이 멋진 작품 소떡소떡이 아니고 소고기적	이 한바당님이 멋진 작품 소떡소떡이 아니랑 쇠괴기적
소고기적	쇠괴기적
소고기적 먹고싶어 했어요	쇠괴기적 먹고졍허다
무 감자 달콤해요 소고기적	놈삐 지슬 돌코롬허다 쇠괴기적
한 번 더 말해볼까요? 무 감자 달콤해요 소고기적	혼 번 더 골아보카? 놈삐 지슬 돌코롬허다 쇠괴기적
멋진 제주어 잊어버리지 말고 잘 xx게	맛시러운 제주어 잊어불지 말앙 잘 xx게
한번에 통과했네요	한번에 통과해버리네
모두들 잘 있었나요?	몬덜 잘 이선?
이번에 xxxxxxx 성읍민속마을 갔다왔는데	이번에 xxxxxxx 성읍민속마을 댕겨와신디
신기한 게 많이 있었어요	신기한 게 하영 셩게
함께 알아봅시다	혼디 알아보게이
이제 화장실 방은 모양이 다르지만	이제 화장실 방은 모냥이 토나주만
돼지도 기르고 거름도 만드는	도새기도 질르곡 걸름도 맹그는
쓸모있는 공간 돼지우리 돼지우리 돼지우리	쓸메이신 공간 통시 통시 통시
잠깐만 잠깐만 이거를 아까 이제를 바꿔보자 이제는으로	잠깐만 잠깐만 이거를 아까 이제를 바꿔보자 요지금으로
아니 그러니까 이제는	아니 그러니까 요지금
뒤에도 이제는 있지 않았나요	뒤에도 요지금 있지 안해신가
이제는 하고 이거 지금과 같음도 그렇다면 이 지금?	요지금 허곡 요거 지금과 같음도 겅허먼 요 지금?
이제는	요지금
이제는 화장 	요지금 화장 
이제는 화장실 방은 모양이 다르지만	요지금 화장실 방은 모냥이 토나주만
돼지도 기르고 거름도 만드는 쓸모있는 공간 돼지우리	도새기도 질르곡 걸름도 맹그는 쓸메이신 공간 통시
해설사 선생님이 많이 보여줬어요	해설사 선싱님이 하영 보여줬주
제주어로 감사 인사는 어떻게하면 될까요?	제주어로 감사인산  어떵허민 되코?
고맙습니다 고맙습니다	고맙수다 고맙수다
집 주인이 있는지 없는지 말해주는 똑똑한 대문 정낭	집 주연이 이신지 으신지 골아주는 똑똑한 대문 정낭
이거 이거 이제 하고 이건 이거 하는거예요 이제는하고 이제는을허나	이거 이거 이제 하고 이건 이거허는거 
이제는을	요지금광을
다른 모양이 이제는은 다른	토난 모냥이 요지금광은 토난
이제는은 다른 모양이 옛날집 초가집이라	요지금광은 토난 모냥이 옛날집 초가집이라
이제는하고 다른을 붙여서 붙여 읽어봐	요지금광하고 토난을 붙여서 붙여 읽어봐
이제는은 다른 모양의 시작	요지금광은 토난 모냥의 시작
이제는은 다른 모양의 옛날집 초가집이라	요지금광은 토난 모냥의 옛날집 초가집이라
초가집이라 안하고 우린 초가집이라고 해	초가집이라 안하고 우린 초집이라고 해
그러게 나도 초가집이라고 했는데	게메이 나도 초집이랜 해신디
그렇게 하기로하지 않았나요 그때?	겅 하기로하지 아낸 그때?
응 그렇게한 것 같아요	응 경헌거 닮다
이제는은 다른 다른 모양이 잠만	요지금광은 토난 토난 모냥이 잠만
이제는은 다른 모양이 빼고 옛날 집	요지금광은 토난 모냥이 빼고 옛날 집
이거이 이거 지금 이제는은 다른 모양의 가 의가 이상	이거이 이거 지금 요지금광은 토난 모냥의 가 의가 이상
이걸 어떻게 막 이렇게 바꿔서 자연스럽게 연결안될까?	이걸 어떵 막 영 바꿔그네이 자연스럽게 연결안될까?
